Town,MH Only,SA Only,MH & SA,Total
Roxbury,14,15,5,34
Salem,17,39,1,57
Salisbury,4,17,2,23
Sandy Hook,27,119,9,155
Scotland,8,10,1,19
Seymour,229,296,30,555
Sharon,15,22,6,43
Shelton,323,571,45,939
Sherman,17,29,3,49
Simsbury,69,109,5,183
Somers,171,94,11,276
Somersville,6,3,2,11
South Glastonbury,18,31,2,51
South Kent,4,8,-,12
South Killingly,6,5,3,14
South Norwalk,27,4,3,34
South Windham,4,5,1,10
South Windsor,243,193,13,449
Southbury,92,164,9,265
Southington,86,485,33,604
Southport,9,17,-,26
Stafford,24,38,5,67
Stafford Springs,181,172,22,375
Staffordville,4,1,-,5
Stamford,1933,987,149,3069
Sterling,36,51,10,97
Stonington,17,52,4,73
Storrs,57,61,3,121
Storrs Mansfield,9,11,-,20
Stratford,294,736,42,1072
Suffield,158,65,6,229
Taftville,71,74,13,158
Tariffville,16,14,1,31
Terryville,68,203,11,282
Thomaston,78,116,8,202
Thompson,37,36,5,78
Tolland,91,139,12,242
Torrington,1386,731,147,2264
Trumbull,85,244,15,344
Uncasville,114,165,18,297
Union,6,5,-,11
Unionville,16,101,3,120
Vernon,483,298,35,816
Vernon Rockville,85,56,12,153
Voluntown,26,42,2,70
Wallingford,230,484,49,763
Wapping,4,5,-,9
Warren,4,14,1,19
Warrenville,3,4,-,7
Washington,5,13,1,19
Washington Depot,8,11,-,19
Waterbury,3454,2741,348,6543
Waterford,99,204,21,324
Watertown,141,149,18,308
Wauregan,25,25,3,53
Weatogue,11,18,-,29
West Ashford,2,3,-,5
West Cornwall,7,3,-,10
West Granby,6,5,2,13
West Hartford,389,526,31,946
West Haven,891,971,139,2001
West Simsbury,9,34,1,44
West Stafford,-,6,-,6
West Suffield,51,18,7,76
Westbrook,53,90,9,152
Weston,25,36,1,62
Westport,142,114,10,266
Wethersfield,210,275,24,509
Willimantic,781,768,214,1763
Willington,73,79,5,157
Wilton,55,79,7,141
Winchester,6,2,2,10
Winchester Center,1,5,1,7
Windham,33,47,9,89
Windsor,440,310,42,792
Windsor Locks,336,169,32,537
Winsted,302,237,31,570
Wolcott,118,203,18,339
Woodbridge,23,50,5,78
Woodbury,69,77,3,149
Woodstock,61,43,3,107
Woodstock Valley,11,5,2,18
Yalesville,23,42,5,70
Yantic,2,6,-,8
