Town,MH Only,SA Only,MH & SA,Total
Andover,26,29,-,60
Ansonia,530,297,53,880
Ashford,50,62,10,122
Avon,31,69,5,105
Barkhamsted,31,60,-,92
Beacon Falls,36,77,-,117
Berlin,60,273,14,347
Bethany,12,37,5,54
Bethel,122,208,9,339
Bethlehem,36,35,-,75
Bloomfield,300,231,25,556
Bolton,72,41,8,121
Bozrah,43,45,-,92
Branford,542,286,62,890
Bridgeport,2362,2452,432,5246
Bridgewater,7,17,-,25
Bristol,468,1376,113,1957
Brookfield,90,168,14,272
Brooklyn,168,106,18,292
Burlington,12,118,6,136
Canaan,45,70,-,116
Canterbury,47,63,5,115
Canton,33,103,-,139
Chaplin,36,40,6,82
Cheshire,104,192,12,308
Chester,29,47,-,79
Clinton,84,192,16,292
Colchester,90,180,20,290
Colebrook,13,17,-,31
Columbia,48,50,7,105
Cornwall,9,5,0,14
Coventry,119,137,21,277
Cromwell,67,177,6,250
Danbury,1034,1138,157,2329
Darien,34,58,-,93
Deep River,35,78,-,117
Derby,233,216,23,472
Durham,21,66,-,89
East Granby,53,50,6,109
East Haddam,35,95,9,139
East Hampton,77,209,13,299
East Hartford,1860,704,154,2718
East Haven,539,462,87,1088
East Lyme,62,219,24,305
East Windsor,278,181,34,493
Eastford,15,12,0,27
Easton,21,37,0,58
Ellington,140,121,19,280
Enfield,1376,673,163,2212
Essex,56,48,9,113
Fairfield,169,283,27,479
Farmington,68,237,10,315
Franklin,13,21,0,34
Glastonbury,262,203,29,494
Goshen,33,30,7,70
Granby,90,68,13,171
Greenwich,178,211,9,398
Griswold,189,283,20,492
Groton,312,490,40,842
Guilford,166,153,34,353
Haddam,40,69,5,114
Hamden,670,352,90,1112
Hampton,30,45,-,78
Hartford,3680,4514,778,8972
Hartland,-,13,-,21
Harwinton,59,57,-,117
Hebron,66,84,12,162
Kent,35,35,-,72
Killingly,595,314,77,986
Killingworth,21,46,-,68
Lebanon,65,95,13,173
Ledyard,87,192,6,285
Litchfield,122,96,10,228
Madison,98,135,12,245
Manchester,1964,737,138,2839
Mansfield,139,179,28,346
Marlborough,45,51,10,106
Meriden,1156,975,198,2329
Middlefield,22,34,-,59
Middletown,931,933,177,2041
Milford,768,647,103,1518
Monroe,32,165,-,201
Montville,182,288,22,492
Morris,23,31,-,56
Naugatuck,325,459,33,817
New Britain,1120,2198,323,3641
New Canaan,45,65,-,113
New Fairfield,54,111,10,175
New Hartford,52,76,7,135
New Haven,3585,1947,669,6201
New London,739,840,147,1726
New Milford,419,410,51,880
Newington,253,372,34,659
Newtown,101,277,13,391
Norfolk,22,28,-,52
North Branford,117,128,20,265
North Canaan,-,8,0,11
North Haven,192,188,24,404
North Stonington,17,60,-,81
Norwalk,1459,887,123,2469
Norwich,1201,947,152,2300
Old Lyme,30,78,7,115
Old Saybrook,40,113,7,160
Orange,66,75,11,152
Oxford,67,122,13,202
Plainfield,283,264,30,577
Plainville,102,392,34,528
Plymouth,58,235,17,310
Pomfret,39,25,-,66
Portland,83,126,16,225
Preston,43,54,-,100
Prospect,51,66,-,121
Putnam,251,143,21,415
Redding,26,54,-,81
Ridgefield,68,131,9,208
Rocky Hill,215,175,9,399
Roxbury,20,21,-,44
Salem,20,40,-,63
Scotland,12,8,-,23
Seymour,210,200,28,438
Sharon,17,21,5,43
Shelton,319,425,42,786
Sherman,22,29,-,53
Simsbury,106,122,8,236
Somers,153,112,14,279
South Windsor,228,149,20,397
Southbury,84,126,-,213
Southington,128,591,55,774
Sprague,36,48,-,87
Stafford,198,218,28,444
Stamford,1282,936,111,2329
Sterling,38,58,7,103
Stonington,156,284,12,452
Stratford,268,622,50,940
Suffield,205,94,25,324
Thomaston,70,121,5,196
Thompson,130,77,11,218
Tolland,97,96,9,202
Torrington,1468,856,181,2505
Trumbull,94,227,11,332
Vernon,619,355,46,1020
Voluntown,19,34,5,58
Wallingford,286,480,46,812
Warren,12,21,0,33
Washington,23,44,5,72
Waterbury,3098,2399,277,5774
Waterford,107,270,18,395
Watertown,184,265,22,471
West Hartford,400,434,38,872
West Haven,925,662,143,1730
Westbrook,37,111,6,154
Weston,17,43,-,62
Westport,127,89,12,228
Wethersfield,210,267,26,503
Willington,67,69,9,145
Wilton,40,77,5,122
Winchester,334,282,27,643
Windham,860,885,187,1932
Windsor Locks,303,197,47,547
Wolcott,117,178,8,303
Woodbridge,28,40,7,75
Woodbury,61,74,10,145
Woodstock,79,49,5,133
unknown,1650,1393,191,3234
Total,50447,49350,7109,106906
