Town,MH Only,SA Only,MH & SA,Total
Andover,23,36,4,63
Ansonia,462,352,64,878
Ashford,46,67,5,118
Avon,35,92,4,131
Barkhamsted,46,57,4,107
Beacon Falls,28,69,4,101
Berlin,89,250,18,357
Bethany,16,38,2,56
Bethel,60,248,12,320
Bethlehem,30,33,4,67
Bloomfield,300,240,26,566
Bolton,69,34,16,119
Bozrah,38,44,1,83
Branford,434,311,64,809
Bridgeport,2261,2709,438,5408
Bridgewater,5,14,1,20
Bristol,457,1470,123,2050
Brookfield,54,195,11,260
Brooklyn,136,149,22,307
Burlington,26,117,9,152
Canaan,51,92,4,147
Canterbury,46,74,6,126
Canton,40,83,1,124
Chaplin,32,47,7,86
Cheshire,106,200,14,320
Chester,20,36,4,60
Clinton,83,177,17,277
Colchester,89,180,12,281
Colebrook,23,19,2,44
Columbia,31,63,8,102
Cornwall,11,10,1,22
Coventry,125,135,23,283
Cromwell,79,190,13,282
Danbury,621,1320,113,2054
Darien,31,37,-,68
Deep River,32,68,6,106
Derby,206,206,28,440
Durham,21,55,4,80
East Granby,73,29,5,107
East Haddam,42,82,10,134
East Hampton,87,191,9,287
East Hartford,1748,681,191,2620
East Haven,516,441,82,1039
East Lyme,66,191,24,281
East Windsor,287,130,49,466
Eastford,11,17,1,29
Easton,18,45,2,65
Ellington,129,102,21,252
Enfield,1329,484,222,2035
Essex,50,56,7,113
Fairfield,140,276,16,432
Farmington,61,248,12,321
Franklin,13,13,3,29
Glastonbury,271,163,29,463
Goshen,38,29,2,69
Granby,111,52,15,178
Greenwich,171,212,7,390
Griswold,171,237,14,422
Groton,302,411,45,758
Guilford,173,133,19,325
Haddam,28,69,4,101
Hamden,653,417,71,1141
Hampton,15,46,2,63
Hartford,3155,4564,808,8527
Hartland,9,14,1,24
Harwinton,81,68,7,156
Hebron,71,85,7,163
Kent,34,34,3,71
Killingly,442,513,73,1028
Killingworth,17,46,5,68
Lebanon,53,117,16,186
Ledyard,71,165,10,246
Lisbon,-,3,-,3
Litchfield,161,96,19,276
Lyme,-,2,-,2
Madison,92,125,15,232
Manchester,2198,644,191,3033
Mansfield,135,188,25,348
Marlborough,42,55,10,107
Meriden,1098,1016,160,2274
Middlebury,19,47,2,68
Middlefield,22,42,1,65
Middletown,808,863,174,1845
Milford,694,574,83,1351
Monroe,28,124,7,159
Montville,182,259,26,467
Morris,33,21,1,55
Naugatuck,243,444,34,721
New Britain,1370,2330,334,4034
New Canaan,38,61,2,101
New Fairfield,23,129,2,154
New Hartford,67,69,10,146
New Haven,3384,2060,696,6140
New London,754,792,166,1712
New Milford,308,443,41,792
Newington,222,363,31,616
Newtown,60,297,5,362
Norfolk,26,37,4,67
North Branford,99,132,26,257
North Canaan,6,11,1,18
North Haven,209,173,29,411
North Stonington,18,49,4,71
Norwalk,1379,779,91,2249
Norwich,1116,823,138,2077
Old Lyme,33,97,6,136
Old Saybrook,37,97,8,142
Orange,81,89,12,182
Oxford,41,120,7,168
Plainfield,254,342,30,626
Plainville,109,416,29,554
Plymouth,73,276,12,361
Pomfret,25,40,1,66
Portland,74,118,15,207
Preston,35,48,5,88
Prospect,43,58,6,107
Putnam,184,217,27,428
Redding,15,47,1,63
Ridgefield,27,136,6,169
Rocky Hill,140,167,12,319
Roxbury,12,16,3,31
Salem,27,33,2,62
Salisbury,31,41,4,76
Scotland,3,16,1,20
Seymour,193,205,23,421
Sharon,13,23,8,44
Shelton,295,474,46,815
Sherman,19,29,-,48
Simsbury,105,105,10,220
Somers,157,79,16,252
South Windsor,248,126,18,392
Southbury,47,131,6,184
Southington,142,562,43,747
Sprague,39,44,2,85
Stafford,174,160,34,368
Stamford,1184,831,74,2089
Sterling,22,61,5,88
Stonington,131,231,17,379
Stratford,268,669,41,978
Suffield,186,79,26,291
Thomaston,83,116,11,210
Thompson,77,100,5,182
Tolland,108,81,15,204
Torrington,1623,941,196,2760
Trumbull,72,217,11,300
Vernon,605,311,67,983
Voluntown,20,36,5,61
Wallingford,252,468,34,754
Warren,13,15,2,30
Washington,30,39,4,73
Waterbury,2767,2421,283,5471
Waterford,108,248,13,369
Watertown,153,221,15,389
West Hartford,392,425,39,856
West Haven,856,651,130,1637
Westbrook,43,94,9,146
Weston,18,44,1,63
Westport,112,86,10,208
Wethersfield,178,262,26,466
Willington,53,63,5,121
Wilton,37,66,1,104
Winchester,375,300,33,708
Windham,717,1227,175,2119
Windsor,469,239,54,762
Windsor Locks,300,148,55,503
Wolcott,102,183,11,296
Woodbridge,23,45,5,73
Woodbury,41,73,7,121
Woodstock,52,74,5,131
Unknown,1755,1238,191,3184
Total,47433,49544,7189,104166
