"FIPS","Year","Age Range","Pop","MOE"
"09",2010,"Total",3545837,0
"0900104720",2010,"Total",18377,27
"0900108070",2010,"Total",142576,45
"0900108980",2010,"Total",16214,25
"0900118500",2010,"Total",79371,40
"0900118850",2010,"Total",20414,37
"0900123890",2010,"Total",7403,23
"0900126620",2010,"Total",58727,41
"0900133620",2010,"Total",60809,61
"0900148620",2010,"Total",19316,29
"0900150580",2010,"Total",19564,36
"0900150860",2010,"Total",13800,30
"0900152980",2010,"Total",26957,35
"0900156060",2010,"Total",84611,43
"0900163480",2010,"Total",8945,22
"0900163970",2010,"Total",24299,43
"0900168170",2010,"Total",39061,24
"0900168310",2010,"Total",3604,14
"0900173070",2010,"Total",120907,42
"0900174190",2010,"Total",50821,32
"0900177200",2010,"Total",35495,41
"0900183430",2010,"Total",10088,22
"0900183500",2010,"Total",26109,27
"0900186370",2010,"Total",17874,26
"0900302060",2010,"Total",17678,25
"0900304300",2010,"Total",19591,45
"0900305910",2010,"Total",20334,28
"0900308490",2010,"Total",60466,35
"0900310100",2010,"Total",9103,28
"0900312270",2010,"Total",10037,20
"0900322070",2010,"Total",5161,113
"0900322630",2010,"Total",50974,38
"0900324800",2010,"Total",10921,32
"0900325990",2010,"Total",44794,29
"0900327600",2010,"Total",25067,23
"0900331240",2010,"Total",33984,28
"0900332640",2010,"Total",11124,26
"0900337070",2010,"Total",124760,80
"0900337140",2010,"Total",2009,112
"0900344700",2010,"Total",57650,78
"0900345820",2010,"Total",6287,22
"0900350440",2010,"Total",72954,37
"0900352140",2010,"Total",30361,34
"0900360120",2010,"Total",17625,34
"0900365370",2010,"Total",19418,32
"0900368940",2010,"Total",23477,27
"0900370550",2010,"Total",42491,26
"0900371390",2010,"Total",25476,48
"0900374540",2010,"Total",15357,25
"0900382590",2010,"Total",62898,57
"0900384900",2010,"Total",26613,34
"0900387000",2010,"Total",28947,87
"0900387070",2010,"Total",12419,27
"0900502760",2010,"Total",3781,53
"0900504930",2010,"Total",3595,19
"0900508210",2010,"Total",1708,114
"0900510940",2010,"Total",1161,107
"0900516050",2010,"Total",1361,92
"0900517240",2010,"Total",1589,210
"0900532290",2010,"Total",2950,18
"0900537280",2010,"Total",5618,18
"0900540290",2010,"Total",2981,18
"0900543370",2010,"Total",8512,26
"0900549460",2010,"Total",2461,256
"0900551350",2010,"Total",6868,30
"0900552630",2010,"Total",28159,29
"0900553470",2010,"Total",1669,168
"0900554030",2010,"Total",3354,34
"0900560750",2010,"Total",12213,39
"0900565930",2010,"Total",2239,164
"0900566420",2010,"Total",3810,19
"0900567960",2010,"Total",2837,18
"0900575730",2010,"Total",7873,20
"0900576570",2010,"Total",36423,42
"0900579510",2010,"Total",1480,155
"0900579720",2010,"Total",3622,23
"0900580490",2010,"Total",22522,26
"0900586440",2010,"Total",11221,18
"0900587910",2010,"Total",9909,20
"0900700000",2010,"Total",0,123
"0900714300",2010,"Total",3976,16
"0900715350",2010,"Total",13316,22
"0900718080",2010,"Total",13888,22
"0900719130",2010,"Total",4644,38
"0900720810",2010,"Total",7293,18
"0900722280",2010,"Total",9038,19
"0900722490",2010,"Total",12891,20
"0900726270",2010,"Total",6686,29
"0900735230",2010,"Total",8185,23
"0900740710",2010,"Total",6487,40
"0900747080",2010,"Total",4413,18
"0900747360",2010,"Total",47349,47
"0900757320",2010,"Total",10326,21
"0900761800",2010,"Total",9422,28
"0900781680",2010,"Total",6860,27
"0900900000",2010,"Total",0,123
"0900901220",2010,"Total",19163,45
"0900903250",2010,"Total",5909,18
"0900904580",2010,"Total",5467,34
"0900907310",2010,"Total",28194,31
"0900914160",2010,"Total",29183,25
"0900919550",2010,"Total",12826,20
"0900922910",2010,"Total",29074,26
"0900934950",2010,"Total",22222,35
"0900935650",2010,"Total",60293,32
"0900944560",2010,"Total",18229,33
"0900946520",2010,"Total",60484,49
"0900946940",2010,"Total",7390,34
"0900947535",2010,"Total",52753,38
"0900949950",2010,"Total",31746,29
"0900952070",2010,"Total",128885,39
"0900953890",2010,"Total",14331,23
"0900954870",2010,"Total",23927,36
"0900957600",2010,"Total",13831,46
"0900958300",2010,"Total",12192,30
"0900962290",2010,"Total",9282,34
"0900967610",2010,"Total",16367,23
"0900969640",2010,"Total",19690,22
"0900978740",2010,"Total",44786,48
"0900980070",2010,"Total",109941,40
"0900982870",2010,"Total",55070,44
"0900987560",2010,"Total",16446,38
"0900987700",2010,"Total",9007,33
"0901100000",2010,"Total",0,123
"0901106820",2010,"Total",2590,24
"0901115910",2010,"Total",15849,20
"0901123400",2010,"Total",19067,28
"0901129910",2010,"Total",1924,121
"0901133900",2010,"Total",11774,22
"0901134250",2010,"Total",40254,32
"0901142390",2010,"Total",7253,17
"0901142600",2010,"Total",15023,24
"0901143230",2010,"Total",4306,20
"0901144210",2010,"Total",2323,116
"0901148900",2010,"Total",19469,27
"0901152350",2010,"Total",27496,32
"0901155500",2010,"Total",5252,25
"0901156270",2010,"Total",39843,52
"0901157040",2010,"Total",7589,19
"0901162150",2010,"Total",4721,36
"0901166210",2010,"Total",4107,18
"0901171670",2010,"Total",2990,17
"0901173770",2010,"Total",18497,37
"0901178600",2010,"Total",2603,27
"0901180280",2010,"Total",19430,24
"0901301080",2010,"Total",3246,137
"0901306260",2010,"Total",5023,17
"0901316400",2010,"Total",5425,32
"0901317800",2010,"Total",12354,24
"0901325360",2010,"Total",15228,28
"0901337910",2010,"Total",9571,26
"0901344910",2010,"Total",25855,20
